"Sample_ID","Logger_ID","Date_time","T1","T2","T3","Raw_soil_moisture","Vol_soil_moisture","time_diff"
"23-11181",94233367,2023-06-15 13:00:00,21.75,23.5,22.375,1083,9.7,"5"
"23-11181",94233367,2023-06-15 13:15:00,21.6875,23.125,22.1875,1081,9.6,"20"
"23-11181",94233367,2023-06-15 13:30:00,21.5625,22.875,22,1081,9.6,"35"
"23-11181",94233367,2023-06-15 13:45:00,21.5,22.75,22,1080,9.6,"50"
"23-11181",94233367,2023-06-15 14:00:00,21.375,22.5625,21.75,1081,9.6,"65"
"23-11181",94233367,2023-06-15 14:15:00,21.25,22.75,22.125,1081,9.6,"80"
"23-11181",94233367,2023-06-15 14:30:00,21.25,23.75,23.375,1083,9.7,"95"
"23-11181",94233367,2023-06-15 14:45:00,21.25,24,23.5,1084,9.7,"110"
"23-11181",94233367,2023-06-15 15:00:00,21.25,25.625,25.375,1088,9.8,"125"
"23-11182",94233367,2023-06-15 13:00:00,21.75,23.5,22.375,1083,9.7,"3"
"23-11182",94233367,2023-06-15 13:15:00,21.6875,23.125,22.1875,1081,9.6,"18"
"23-11182",94233367,2023-06-15 13:30:00,21.5625,22.875,22,1081,9.6,"33"
"23-11182",94233367,2023-06-15 13:45:00,21.5,22.75,22,1080,9.6,"48"
"23-11182",94233367,2023-06-15 14:00:00,21.375,22.5625,21.75,1081,9.6,"63"
"23-11182",94233367,2023-06-15 14:15:00,21.25,22.75,22.125,1081,9.6,"78"
"23-11182",94233367,2023-06-15 14:30:00,21.25,23.75,23.375,1083,9.7,"93"
"23-11182",94233367,2023-06-15 14:45:00,21.25,24,23.5,1084,9.7,"108"
"23-11182",94233367,2023-06-15 15:00:00,21.25,25.625,25.375,1088,9.8,"123"
"23-11183",94233367,2023-06-15 13:00:00,21.75,23.5,22.375,1083,9.7,"5"
"23-11183",94233367,2023-06-15 13:15:00,21.6875,23.125,22.1875,1081,9.6,"10"
"23-11183",94233367,2023-06-15 13:30:00,21.5625,22.875,22,1081,9.6,"25"
"23-11183",94233367,2023-06-15 13:45:00,21.5,22.75,22,1080,9.6,"40"
"23-11183",94233367,2023-06-15 14:00:00,21.375,22.5625,21.75,1081,9.6,"55"
"23-11183",94233367,2023-06-15 14:15:00,21.25,22.75,22.125,1081,9.6,"70"
"23-11183",94233367,2023-06-15 14:30:00,21.25,23.75,23.375,1083,9.7,"85"
"23-11183",94233367,2023-06-15 14:45:00,21.25,24,23.5,1084,9.7,"100"
"23-11183",94233367,2023-06-15 15:00:00,21.25,25.625,25.375,1088,9.8,"115"
"23-11184",94233367,2023-06-15 13:00:00,21.75,23.5,22.375,1083,9.7,"1"
"23-11184",94233367,2023-06-15 13:15:00,21.6875,23.125,22.1875,1081,9.6,"14"
"23-11184",94233367,2023-06-15 13:30:00,21.5625,22.875,22,1081,9.6,"29"
"23-11184",94233367,2023-06-15 13:45:00,21.5,22.75,22,1080,9.6,"44"
"23-11184",94233367,2023-06-15 14:00:00,21.375,22.5625,21.75,1081,9.6,"59"
"23-11184",94233367,2023-06-15 14:15:00,21.25,22.75,22.125,1081,9.6,"74"
"23-11184",94233367,2023-06-15 14:30:00,21.25,23.75,23.375,1083,9.7,"89"
"23-11184",94233367,2023-06-15 14:45:00,21.25,24,23.5,1084,9.7,"104"
"23-11184",94233367,2023-06-15 15:00:00,21.25,25.625,25.375,1088,9.8,"119"
"23-11185",94233367,2023-06-15 13:00:00,21.75,23.5,22.375,1083,9.7,"4"
"23-11185",94233367,2023-06-15 13:15:00,21.6875,23.125,22.1875,1081,9.6,"11"
"23-11185",94233367,2023-06-15 13:30:00,21.5625,22.875,22,1081,9.6,"26"
"23-11185",94233367,2023-06-15 13:45:00,21.5,22.75,22,1080,9.6,"41"
"23-11185",94233367,2023-06-15 14:00:00,21.375,22.5625,21.75,1081,9.6,"56"
"23-11185",94233367,2023-06-15 14:15:00,21.25,22.75,22.125,1081,9.6,"71"
"23-11185",94233367,2023-06-15 14:30:00,21.25,23.75,23.375,1083,9.7,"86"
"23-11185",94233367,2023-06-15 14:45:00,21.25,24,23.5,1084,9.7,"101"
"23-11185",94233367,2023-06-15 15:00:00,21.25,25.625,25.375,1088,9.8,"116"
"23-22001",94253278,2023-06-06 11:15:00,16.8125,21.1875,20.5625,733,1.8,"2"
"23-22001",94253278,2023-06-06 11:30:00,16.25,17,16.375,738,1.9,"17"
"23-22001",94253278,2023-06-06 11:45:00,16.25,16.6875,16.625,743,2,"32"
"23-22001",94253278,2023-06-06 12:00:00,16.5,16.9375,17,746,2.1,"47"
"23-22001",94253278,2023-06-06 12:15:00,16.625,17.125,17.125,749,2.2,"62"
"23-22001",94253278,2023-06-06 12:30:00,16.6875,17.25,17.25,751,2.2,"77"
"23-22001",94253278,2023-06-06 12:45:00,16.75,17.5625,17.6875,753,2.2,"92"
"23-22001",94253278,2023-06-06 13:00:00,16.875,17.875,18,755,2.3,"107"
"23-22001",94253278,2023-06-06 13:15:00,16.9375,18,18.1875,757,2.3,"122"
"23-22002",94253288,2023-06-06 11:15:00,17.875,21.9375,21.375,348,0,"2"
"23-22002",94253288,2023-06-06 11:30:00,18.375,19,17.375,972,7.2,"13"
"23-22002",94253288,2023-06-06 11:45:00,18.75,18.375,17.25,975,7.3,"28"
"23-22002",94253288,2023-06-06 12:00:00,18.875,18.4375,17.5,977,7.3,"43"
"23-22002",94253288,2023-06-06 12:15:00,18.9375,18.5625,17.8125,979,7.4,"58"
"23-22002",94253288,2023-06-06 12:30:00,19,18.625,17.75,980,7.4,"73"
"23-22002",94253288,2023-06-06 12:45:00,21.125,20.875,21.25,353,0,"88"
